"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","Crm.Cd.1","LOCATION","LAT","LON","year","Descent_Description","month","Hour"
241405056,"01/25/2024 12:00:00 AM",2024-01-24,"22:00",14,"Pacific",1443,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",38,"M","W",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",440,"600    COEUR D ALENE                AV",33.9884,-118.4546,2024,"White","2024-01","22"
240808187,"05/04/2024 12:00:00 AM",2024-04-26,"11:11",8,"West LA",885,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",45,"F","O",117,"BEACH","IC","Invest Cont",440,"10600    CUSHDON                      AV",34.0408,-118.4211,2024,"Other","2024-04","11"
240808988,"06/13/2024 12:00:00 AM",2024-06-12,"20:00",8,"West LA",849,1,510,"VEHICLE - STOLEN",0,"","",108,"PARKING LOT","IC","Invest Cont",510,"900 S  SHERBOURNE                   DR",34.061,-118.3793,2024,"Unknown","2024-06","20"
240606084,"02/12/2024 12:00:00 AM",2024-02-09,"16:00",6,"Hollywood",646,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",37,"F","W",101,"STREET","IC","Invest Cont",420,"SCHRADER",34.0998,-118.3325,2024,"White","2024-02","16"
240206718,"02/22/2024 12:00:00 AM",2024-02-22,"14:50",2,"Rampart",257,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",22,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",626,"1200    INGRAHAM                     ST",34.0523,-118.2653,2024,"Black","2024-02","14"
241413005,"09/11/2024 12:00:00 AM",2024-09-10,"00:30",14,"Pacific",1446,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"12200    VENICE                       BL",34.0048,-118.4312,2024,"Unknown","2024-09","00"
241210725,"04/25/2024 12:00:00 AM",2024-04-25,"18:30",12,"77th Street",1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",64,"M","B",217,"AUTO REPAIR SHOP","IC","Invest Cont",230,"200 E  MANCHESTER                   AV",33.964,-118.2739,2024,"Black","2024-04","18"
240205214,"01/24/2024 12:00:00 AM",2024-01-24,"17:25",2,"Rampart",201,2,890,"FAILURE TO YIELD",23,"X","X",101,"STREET","AA","Adult Arrest",890,"VERMONT                      AV",34.0836,-118.2917,2024,"Unknown","2024-01","17"
240206648,"02/21/2024 12:00:00 AM",2024-02-21,"18:30",2,"Rampart",257,2,901,"VIOLATION OF RESTRAINING ORDER",32,"F","H",101,"STREET","AO","Adult Other",901,"500    LOMA                         DR",34.0579,-118.267,2024,"Hispanic/Latin/Mexican","2024-02","18"
241911110,"08/23/2024 12:00:00 AM",2024-08-22,"12:00",19,"Mission",1906,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"ORO GRANDE",34.3227,-118.4277,2024,"Unknown","2024-08","12"
241508329,"03/29/2024 12:00:00 AM",2024-03-29,"04:30",15,"N Hollywood",1562,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",50,"M","W",101,"STREET","IC","Invest Cont",331,"4400    BELLINGHAM                   AV",34.1504,-118.3987,2024,"White","2024-03","04"
240105645,"01/24/2024 12:00:00 AM",2024-01-23,"19:50",1,"Central",182,1,330,"BURGLARY FROM VEHICLE",24,"M","W",108,"PARKING LOT","IC","Invest Cont",330,"1100 S  OLIVE                        ST",34.0409,-118.2609,2024,"White","2024-01","19"
240309589,"04/21/2024 12:00:00 AM",2024-04-19,"13:00",3,"Southwest",334,1,520,"VEHICLE - ATTEMPT STOLEN",59,"F","W",101,"STREET","IC","Invest Cont",520,"3400 W  30TH                         ST",34.0276,-118.332,2024,"White","2024-04","13"
241313437,"09/26/2024 12:00:00 AM",2024-09-26,"16:46",13,"Newton",1353,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"M","W",301,"GAS STATION","IC","Invest Cont",442,"4400    AVALON                       BL",34.0039,-118.2653,2024,"White","2024-09","16"
242109611,"06/08/2024 12:00:00 AM",2024-04-07,"21:00",21,"Topanga",2155,1,330,"BURGLARY FROM VEHICLE",49,"F","V",101,"STREET","IC","Invest Cont",330,"VICTORY                      BL",34.1865,-118.6077,2024,"Vietnamese","2024-04","21"
240708048,"04/12/2024 12:00:00 AM",2024-04-05,"15:17",7,"Wilshire",733,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",46,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",440,"600    MASSELIN                     AV",34.0649,-118.3525,2024,"Other","2024-04","15"
240306639,"02/21/2024 12:00:00 AM",2024-02-19,"08:00",3,"Southwest",396,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"900 W  43RD                         ST",34.0055,-118.29,2024,"Unknown","2024-02","08"
240112073,"05/27/2024 12:00:00 AM",2024-05-27,"12:00",1,"Central",161,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"X","X",404,"DEPARTMENT STORE","IC","Invest Cont",442,"700 S  FIGUEROA                     ST",34.0483,-118.2631,2024,"Unknown","2024-05","12"
241808100,"03/28/2024 12:00:00 AM",2024-03-28,"11:00",18,"Southeast",1805,2,940,"EXTORTION",10,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",940,"200 E  92ND                         ST",33.9529,-118.2717,2024,"Hispanic/Latin/Mexican","2024-03","11"
240205544,"01/29/2024 12:00:00 AM",2024-01-29,"16:05",2,"Rampart",245,1,210,"ROBBERY",33,"M","H",109,"PARK/PLAYGROUND","AA","Adult Arrest",210,"6TH                          ST",34.0598,-118.2755,2024,"Hispanic/Latin/Mexican","2024-01","16"
241909946,"07/06/2024 12:00:00 AM",2024-07-06,"01:50",19,"Mission",1916,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","AA","Adult Arrest",510,"14100    ASTORIA                      ST",34.3102,-118.4402,2024,"Unknown","2024-07","01"
242007851,"03/29/2024 12:00:00 AM",2024-03-29,"10:00",20,"Olympic",2033,2,624,"BATTERY - SIMPLE ASSAULT",80,"M","K",708,"CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)","IC","Invest Cont",624,"3400 W  8TH                          ST",34.0577,-118.3048,2024,"Korean","2024-03","10"
240507026,"03/20/2024 12:00:00 AM",2024-03-20,"20:30",5,"Harbor",504,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",0,"X","X",404,"DEPARTMENT STORE","IC","Invest Cont",440,"19500    NORMANDIE                    AV",33.8542,-118.2992,2024,"Unknown","2024-03","20"
241409097,"04/26/2024 12:00:00 AM",2024-04-25,"10:10",14,"Pacific",1464,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",32,"M","A",101,"STREET","IC","Invest Cont",331,"GROSVENOR                    BL",33.9799,-118.4122,2024,"Other Asian","2024-04","10"
241406455,"02/22/2024 12:00:00 AM",2024-02-22,"10:50",14,"Pacific",1483,2,624,"BATTERY - SIMPLE ASSAULT",16,"F","B",720,"JUNIOR HIGH SCHOOL","JA","Juv Arrest",624,"9100    FALMOUTH                     AV",33.9534,-118.4337,2024,"Black","2024-02","10"
242105119,"01/27/2024 12:00:00 AM",2024-01-18,"13:36",21,"Topanga",2143,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"M","W",404,"DEPARTMENT STORE","IC","Invest Cont",442,"6600    FALLBROOK                    AV",34.1883,-118.6274,2024,"White","2024-01","13"
240300788,"05/30/2024 12:00:00 AM",2024-05-30,"16:30",3,"Southwest",357,1,310,"BURGLARY",31,"F","A",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest",310,"1100 W  37TH                         ST",34.021,-118.2921,2024,"Other Asian","2024-05","16"
240511844,"10/09/2024 12:00:00 AM",2024-10-07,"17:00",5,"Harbor",562,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",54,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",331,"1400    LE GRANDE                    TR",33.7323,-118.3096,2024,"White","2024-10","17"
