"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","Crm.Cd.1","LOCATION","LAT","LON","year","Descent_Description","month","Hour"
200604124,"01/03/2020 12:00:00 AM",2020-01-03,"04:00",6,"Hollywood",648,1,310,"BURGLARY",0,"X","X",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",310,"5400 W  SUNSET                       BL",34.1,-118.3113,2020,"Unknown","2020-01","04"
200218223,"12/05/2020 12:00:00 AM",2020-12-05,"01:00",2,"Rampart",235,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"2200 W  TEMPLE                       ST",34.0707,-118.2693,2020,"Unknown","2020-12","01"
210105387,"02/02/2021 12:00:00 AM",2020-10-02,"15:50",1,"Central",152,2,649,"DOCUMENT FORGERY / STOLEN FELONY",0,"X","X",602,"BANK","IC","Invest Cont",649,"800    WILSHIRE                     BL",34.0493,-118.2582,2020,"Unknown","2020-10","15"
201314683,"07/29/2020 12:00:00 AM",2020-07-29,"10:35",13,"Newton",1383,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,"M","W",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",740,"6200 S  BROADWAY",33.983,-118.2783,2020,"White","2020-07","10"
201610483,"06/28/2020 12:00:00 AM",2020-06-25,"14:55",16,"Foothill",1695,2,354,"THEFT OF IDENTITY",26,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"7700    FAIR                         AV",34.2103,-118.3747,2020,"Hispanic/Latin/Mexican","2020-06","14"
200907309,"03/12/2020 12:00:00 AM",2020-03-10,"12:20",9,"Van Nuys",994,1,310,"BURGLARY",48,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",310,"3600    BEVERLY RIDGE                DR",34.136,-118.4479,2020,"White","2020-03","12"
200905047,"01/25/2020 12:00:00 AM",2020-01-23,"12:30",9,"Van Nuys",915,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",57,"M","W",157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)","IC","Invest Cont",745,"6900    VAN NUYS                     BL",34.1961,-118.4487,2020,"White","2020-01","12"
200111368,"05/05/2020 12:00:00 AM",2020-05-03,"20:07",1,"Central",159,2,940,"EXTORTION",37,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",940,"800 E  4TH                          ST",34.0433,-118.2377,2020,"Hispanic/Latin/Mexican","2020-05","20"
201508876,"04/16/2020 12:00:00 AM",2020-04-16,"04:17",15,"N Hollywood",1549,1,310,"BURGLARY",0,"M","W",222,"LAUNDROMAT","IC","Invest Cont",310,"5200    CAHUENGA                     BL",34.1649,-118.3615,2020,"White","2020-04","04"
201111487,"07/16/2020 12:00:00 AM",2020-07-13,"12:35",11,"Northeast",1115,2,662,"BUNCO, GRAND THEFT",60,"F","F",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",662,"5000    HIGHLAND VIEW                AV",34.1376,-118.2085,2020,"Filipino","2020-07","12"
201207841,"02/25/2020 12:00:00 AM",2020-02-25,"12:00",12,"77th Street",1243,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,"F","B",101,"STREET","IC","Invest Cont",230,"6300 S  WESTERN                      AV",33.982,-118.3089,2020,"Black","2020-02","12"
200615199,"09/08/2020 12:00:00 AM",2020-09-08,"04:15",6,"Hollywood",666,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",0,"X","X",203,"OTHER BUSINESS","IC","Invest Cont",745,"6200    AFTON                        PL",34.0953,-118.3241,2020,"Unknown","2020-09","04"
201221394,"09/25/2020 12:00:00 AM",2020-09-25,"12:00",12,"77th Street",1257,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",56,"M","H",101,"STREET","AO","Adult Other",626,"73RD                         ST",33.9693,-118.285,2020,"Hispanic/Latin/Mexican","2020-09","12"
201416668,"09/04/2020 12:00:00 AM",2020-08-18,"00:10",14,"Pacific",1452,1,310,"BURGLARY",37,"M","W",707,"GARAGE/CARPORT","IC","Invest Cont",310,"00    NORTHSTAR                    ST",33.9717,-118.4607,2020,"White","2020-08","00"
200914059,"08/27/2020 12:00:00 AM",2020-08-27,"17:27",9,"Van Nuys",909,2,666,"BUNCO, ATTEMPT",39,"M","O",602,"BANK","IC","Invest Cont",666,"7200    WOODMAN                      AV",34.2012,-118.4312,2020,"Other","2020-08","17"
201716550,"12/22/2020 12:00:00 AM",2020-12-22,"20:45",17,"Devonshire",1716,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",36,"M","H",101,"STREET","AO","Adult Other",956,"11800    WISH                         AV",34.2851,-118.5048,2020,"Hispanic/Latin/Mexican","2020-12","20"
201805263,"01/23/2020 12:00:00 AM",2020-01-23,"15:00",18,"Southeast",1822,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",53,"F","B",518,"TRANSITIONAL HOUSING/HALFWAY HOUSE","IC","Invest Cont",440,"100 W  102ND                        ST",33.9438,-118.2739,2020,"Black","2020-01","15"
201218824,"08/19/2020 12:00:00 AM",2020-08-18,"18:00",12,"77th Street",1249,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"70TH                         ST",33.9761,-118.2849,2020,"Unknown","2020-08","18"
201000562,"02/19/2020 12:00:00 AM",2020-02-18,"12:00",10,"West Valley",1088,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",23,"M","O",108,"PARKING LOT","AO","Adult Other",930,"16600    VENTURA                      BL",34.1579,-118.4945,2020,"Other","2020-02","12"
222007966,"04/02/2022 12:00:00 AM",2020-04-02,"00:10",20,"Olympic",2036,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"700 S  CATALINA                     ST",34.0598,-118.2954,2020,"Unknown","2020-04","00"
200613631,"08/07/2020 12:00:00 AM",2020-06-07,"02:00",6,"Hollywood",638,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",0,"X","X",301,"GAS STATION","IC","Invest Cont",745,"6200    FRANKLIN                     AV",34.1052,-118.3243,2020,"Unknown","2020-06","02"
201906839,"02/27/2020 12:00:00 AM",2020-02-25,"15:00",19,"Mission",1918,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET","IC","Invest Cont",420,"13700    HUBBARD                      ST",34.3066,-118.4313,2020,"Unknown","2020-02","15"
202013927,"08/27/2020 12:00:00 AM",2020-08-27,"06:30",20,"Olympic",2023,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"300 S  SERRANO                      AV",34.0672,-118.3066,2020,"Unknown","2020-08","06"
200709882,"05/31/2020 12:00:00 AM",2020-05-31,"12:00",7,"Wilshire",762,1,761,"BRANDISH WEAPON",28,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AA","Adult Arrest",761,"5800    PICKFORD                     ST",34.0489,-118.3756,2020,"Black","2020-05","12"
201709719,"06/04/2020 12:00:00 AM",2020-06-04,"01:55",17,"Devonshire",1794,1,310,"BURGLARY",22,"M","W",108,"PARKING LOT","AA","Adult Arrest",310,"18400    MALDEN                       ST",34.2251,-118.5333,2020,"White","2020-06","01"
200113011,"06/07/2020 12:00:00 AM",2020-05-31,"15:30",1,"Central",161,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",31,"F","H",503,"HOTEL","AO","Adult Other",236,"800    FRANCISCO                    ST",34.0477,-118.2637,2020,"Hispanic/Latin/Mexican","2020-05","15"
201008918,"05/11/2020 12:00:00 AM",2020-05-09,"19:30",10,"West Valley",1005,1,310,"BURGLARY",35,"F","W",501,"SINGLE FAMILY DWELLING","AO","Adult Other",310,"18000    HATTON                       ST",34.2102,-118.5252,2020,"White","2020-05","19"
200913829,"08/22/2020 12:00:00 AM",2020-08-19,"11:30",9,"Van Nuys",971,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",38,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",740,"4700    KESTER                       AV",34.1564,-118.463,2020,"Black","2020-08","11"
230215957,"07/11/2023 12:00:00 AM",2020-07-11,"22:55",2,"Rampart",236,2,354,"THEFT OF IDENTITY",35,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",354,"100 S  MOUNTAIN VIEW                AV",34.0648,-118.2708,2020,"White","2020-07","22"
201605477,"02/05/2020 12:00:00 AM",2020-02-05,"01:15",16,"Foothill",1621,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",74,"M","H",101,"STREET","IC","Invest Cont",230,"HADDON",34.2612,-118.4288,2020,"Hispanic/Latin/Mexican","2020-02","01"
201421531,"12/12/2020 12:00:00 AM",2020-12-12,"09:20",14,"Pacific",1494,2,662,"BUNCO, GRAND THEFT",0,"X","X",212,"TRANSPORTATION FACILITY (AIRPORT)","AA","Adult Arrest",662,"300    WORLD WAY",33.9449,-118.4061,2020,"Unknown","2020-12","09"
201111354,"07/13/2020 12:00:00 AM",2020-07-10,"10:45",11,"Northeast",1118,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",25,"F","W",108,"PARKING LOT","IC","Invest Cont",420,"5800    MARMION                      WY",34.111,-118.1925,2020,"White","2020-07","10"
201215907,"07/04/2020 12:00:00 AM",2020-07-04,"02:00",12,"77th Street",1268,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",26,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",626,"100 W  85TH                         PL",33.9608,-118.2739,2020,"Black","2020-07","02"
200608682,"04/04/2020 12:00:00 AM",2020-04-03,"19:00",6,"Hollywood",666,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,"M","H",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",740,"6100 W  SUNSET                       BL",34.098,-118.3223,2020,"Hispanic/Latin/Mexican","2020-04","19"
200814017,"09/12/2020 12:00:00 AM",2020-09-12,"13:30",8,"West LA",852,1,330,"BURGLARY FROM VEHICLE",31,"F","W",707,"GARAGE/CARPORT","IC","Invest Cont",330,"1700    BROCKTON                     AV",34.0382,-118.4585,2020,"White","2020-09","13"
200407684,"04/09/2020 12:00:00 AM",2020-04-08,"19:00",4,"Hollenbeck",452,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"1400    PLEASANT                     AV",34.051,-118.222,2020,"Unknown","2020-04","19"
202106294,"02/13/2020 12:00:00 AM",2020-02-13,"09:00",21,"Topanga",2142,2,624,"BATTERY - SIMPLE ASSAULT",64,"F","W",501,"SINGLE FAMILY DWELLING","AO","Adult Other",624,"23200    HARTLAND                     ST",34.1946,-118.6315,2020,"White","2020-02","09"
200413875,"10/16/2020 12:00:00 AM",2020-10-16,"04:00",4,"Hollenbeck",416,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,"M","H",101,"STREET","IC","Invest Cont",230,"BROADWAY",34.0738,-118.2078,2020,"Hispanic/Latin/Mexican","2020-10","04"
201512838,"07/20/2020 12:00:00 AM",2020-07-06,"04:00",15,"N Hollywood",1563,1,480,"BIKE - STOLEN",47,"F","O",108,"PARKING LOT","IC","Invest Cont",480,"11500    MOORPARK                     ST",34.1504,-118.3833,2020,"Other","2020-07","04"
202015748,"10/11/2020 12:00:00 AM",2020-10-11,"14:00",20,"Olympic",2036,1,210,"ROBBERY",39,"F","B",101,"STREET","AA","Adult Arrest",210,"700 S  BERENDO                      ST",34.0598,-118.2941,2020,"Black","2020-10","14"
201112853,"08/25/2020 12:00:00 AM",2020-08-23,"08:00",11,"Northeast",1151,2,624,"BATTERY - SIMPLE ASSAULT",66,"F","B",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",624,"SUNSET                       BL",34.0982,-118.2961,2020,"Black","2020-08","08"
201608853,"05/08/2020 12:00:00 AM",2020-05-07,"11:20",16,"Foothill",1663,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",47,"F","H",102,"SIDEWALK","IC","Invest Cont",440,"12300    SHELDON                      ST",34.2344,-118.4005,2020,"Hispanic/Latin/Mexican","2020-05","11"
200110717,"04/19/2020 12:00:00 AM",2020-04-19,"09:30",1,"Central",195,2,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",47,"M","H",301,"GAS STATION","IC","Invest Cont",930,"1500 S  MAIN                         ST",34.0343,-118.262,2020,"Hispanic/Latin/Mexican","2020-04","09"
200117839,"09/12/2020 12:00:00 AM",2020-09-12,"03:30",1,"Central",182,1,510,"VEHICLE - STOLEN",0,"","",707,"GARAGE/CARPORT","IC","Invest Cont",510,"1200 S  GRAND                        AV",34.0397,-118.2637,2020,"Unknown","2020-09","03"
202108957,"05/04/2020 12:00:00 AM",2020-05-01,"17:00",21,"Topanga",2177,1,330,"BURGLARY FROM VEHICLE",33,"M","O",101,"STREET","IC","Invest Cont",330,"21500    CALIFA                       ST",34.1773,-118.5988,2020,"Other","2020-05","17"
200708803,"05/01/2020 12:00:00 AM",2020-05-01,"16:30",7,"Wilshire",722,2,900,"VIOLATION OF COURT ORDER",24,"M","W",501,"SINGLE FAMILY DWELLING","AO","Adult Other",900,"6600    DREXEL                       AV",34.0693,-118.3706,2020,"White","2020-05","16"
201223574,"10/29/2020 12:00:00 AM",2020-10-28,"22:00",12,"77th Street",1232,1,310,"BURGLARY",29,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",310,"5900    MADDEN                       AV",33.9854,-118.3255,2020,"Black","2020-10","22"
220507203,"03/25/2022 12:00:00 AM",2020-03-16,"16:15",5,"Harbor",513,2,354,"THEFT OF IDENTITY",29,"M","B",248,"CELL PHONE STORE","IC","Invest Cont",354,"1200    FLINT                        DR",33.7868,-118.299,2020,"Black","2020-03","16"
202108236,"04/13/2020 12:00:00 AM",2020-04-11,"20:00",21,"Topanga",2146,1,310,"BURGLARY",35,"M","X",203,"OTHER BUSINESS","IC","Invest Cont",310,"7100    TOPANGA CANYON               BL",34.1992,-118.6059,2020,"Unknown","2020-04","20"
201226992,"12/23/2020 12:00:00 AM",2020-07-12,"16:00",12,"77th Street",1239,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",37,"F","B",203,"OTHER BUSINESS","IC","Invest Cont",440,"5800 S  VERMONT                      AV",33.9883,-118.2915,2020,"Black","2020-07","16"
212107531,"04/09/2021 12:00:00 AM",2020-10-14,"22:00",21,"Topanga",2177,1,330,"BURGLARY FROM VEHICLE",41,"M","A",101,"STREET","IC","Invest Cont",330,"21800    BURBANK                      BL",34.1731,-118.6021,2020,"Other Asian","2020-10","22"
201321315,"12/16/2020 12:00:00 AM",2020-12-16,"10:20",13,"Newton",1371,1,210,"ROBBERY",41,"M","H",101,"STREET","IC","Invest Cont",210,"5400 S  BROADWAY",33.9927,-118.2783,2020,"Hispanic/Latin/Mexican","2020-12","10"
201807321,"02/26/2020 12:00:00 AM",2020-02-18,"19:45",18,"Southeast",1891,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",19,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",956,"800 W  168TH                        ST",33.8792,-118.289,2020,"Hispanic/Latin/Mexican","2020-02","19"
201113195,"09/03/2020 12:00:00 AM",2020-08-28,"23:00",11,"Northeast",1173,1,421,"THEFT FROM MOTOR VEHICLE - ATTEMPT",48,"M","O",101,"STREET","IC","Invest Cont",421,"2100    LAKE SHORE                   AV",34.091,-118.2538,2020,"Other","2020-08","23"
201707702,"03/25/2020 12:00:00 AM",2020-03-24,"17:00",17,"Devonshire",1758,1,331,"THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)",36,"F","H",101,"STREET","IC","Invest Cont",331,"SWINTON",34.2538,-118.4861,2020,"Hispanic/Latin/Mexican","2020-03","17"
201320033,"11/16/2020 12:00:00 AM",2020-11-14,"10:00",13,"Newton",1325,1,330,"BURGLARY FROM VEHICLE",41,"F","H",101,"STREET","IC","Invest Cont",330,"1200 E  27TH                         ST",34.0158,-118.2509,2020,"Hispanic/Latin/Mexican","2020-11","10"
201808238,"03/15/2020 12:00:00 AM",2020-03-15,"18:15",18,"Southeast",1838,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",41,"F","B",501,"SINGLE FAMILY DWELLING","AO","Adult Other",626,"10300    WILMINGTON                   AV",33.9427,-118.2391,2020,"Black","2020-03","18"
201516295,"10/13/2020 12:00:00 AM",2020-10-10,"20:00",15,"N Hollywood",1541,2,624,"BATTERY - SIMPLE ASSAULT",66,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",624,"4900    WHITSETT                     AV",34.1638,-118.4087,2020,"White","2020-10","20"
201704547,"01/11/2020 12:00:00 AM",2020-01-11,"11:26",17,"Devonshire",1797,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",0,"X","X",514,"GROUP HOME","JO","Juv Other",745,"16600    NORDHOFF                     ST",34.2357,-118.4938,2020,"Unknown","2020-01","11"
201413067,"07/01/2020 12:00:00 AM",2020-07-01,"00:30",14,"Pacific",1459,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",0,"X","X",108,"PARKING LOT","IC","Invest Cont",440,"4800 S  SEPULVEDA                    BL",34.0006,-118.4027,2020,"Unknown","2020-07","00"
201505095,"01/23/2020 12:00:00 AM",2020-01-10,"12:00",15,"N Hollywood",1585,2,354,"THEFT OF IDENTITY",31,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",354,"11100    AQUA VISTA                   ST",34.145,-118.3725,2020,"White","2020-01","12"
200512463,"07/30/2020 12:00:00 AM",2020-07-30,"13:40",5,"Harbor",514,2,624,"BATTERY - SIMPLE ASSAULT",53,"F","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other",624,"1000 W  DENNI                        ST",33.7843,-118.2752,2020,"Hispanic/Latin/Mexican","2020-07","13"
200507814,"04/01/2020 12:00:00 AM",2020-03-31,"17:43",5,"Harbor",511,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"1600 W  257TH                        ST",33.7905,-118.3043,2020,"Unknown","2020-03","17"
202015162,"09/26/2020 12:00:00 AM",2020-09-25,"17:00",20,"Olympic",2044,1,330,"BURGLARY FROM VEHICLE",28,"F","H",707,"GARAGE/CARPORT","IC","Invest Cont",330,"900 S  ARDMORE                      AV",34.0545,-118.302,2020,"Hispanic/Latin/Mexican","2020-09","17"
200510171,"05/30/2020 12:00:00 AM",2020-05-29,"20:30",5,"Harbor",515,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",73,"M","W",102,"SIDEWALK","IC","Invest Cont",745,"500 W  Q                            ST",33.7952,-118.2682,2020,"White","2020-05","20"
200319515,"10/27/2020 12:00:00 AM",2020-10-25,"09:24",3,"Southwest",395,2,662,"BUNCO, GRAND THEFT",19,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",662,"1800 W  41ST                         DR",34.009,-118.3138,2020,"Hispanic/Latin/Mexican","2020-10","09"
201510132,"05/15/2020 12:00:00 AM",2020-05-15,"22:15",15,"N Hollywood",1522,2,624,"BATTERY - SIMPLE ASSAULT",59,"M","O",501,"SINGLE FAMILY DWELLING","AO","Adult Other",624,"13000    LEMAY                        ST",34.1917,-118.4158,2020,"Other","2020-05","22"
201213972,"06/01/2020 12:00:00 AM",2020-06-01,"23:00",12,"77th Street",1259,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,"M","H",102,"SIDEWALK","IC","Invest Cont",230,"800 E  79TH                         ST",33.9711,-118.2629,2020,"Hispanic/Latin/Mexican","2020-06","23"
200812520,"08/01/2020 12:00:00 AM",2020-05-01,"09:00",8,"West LA",851,2,354,"THEFT OF IDENTITY",38,"M","J",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"1600 S  BUNDY                        DR",34.0385,-118.4609,2020,"Japanese","2020-05","09"
200311284,"05/13/2020 12:00:00 AM",2020-05-13,"12:50",3,"Southwest",321,1,310,"BURGLARY",51,"M","O",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",310,"3500 S  COCHRAN                      AV",34.023,-118.3616,2020,"Other","2020-05","12"
200413424,"10/04/2020 12:00:00 AM",2020-10-04,"01:00",4,"Hollenbeck",489,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",38,"M","H",504,"OTHER RESIDENCE","AO","Adult Other",236,"2700    WYNGLEN                      LN",34.0274,-118.2188,2020,"Hispanic/Latin/Mexican","2020-10","01"
202104311,"01/07/2020 12:00:00 AM",2020-01-07,"22:50",21,"Topanga",2141,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT",61,"M","W",501,"SINGLE FAMILY DWELLING","AO","Adult Other",626,"6600    NEDDY                        AV",34.1908,-118.6541,2020,"White","2020-01","22"
201225861,"12/06/2020 12:00:00 AM",2020-12-06,"20:00",12,"77th Street",1245,2,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",83,"M","B",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",745,"1400 W  GAGE                         AV",33.9824,-118.3006,2020,"Black","2020-12","20"
202104451,"01/09/2020 12:00:00 AM",2020-01-09,"17:00",21,"Topanga",2111,1,310,"BURGLARY",52,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",310,"8000    VALLEY FLORES                DR",34.2151,-118.6458,2020,"White","2020-01","17"
201510268,"05/19/2020 12:00:00 AM",2020-05-15,"16:00",15,"N Hollywood",1519,1,310,"BURGLARY",63,"M","O",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",310,"6400    SATSUMA                      AV",34.1867,-118.367,2020,"Other","2020-05","16"
200507952,"04/04/2020 12:00:00 AM",2020-04-04,"12:15",5,"Harbor",521,2,624,"BATTERY - SIMPLE ASSAULT",45,"M","B",501,"SINGLE FAMILY DWELLING","AO","Adult Other",624,"1500 W  STONEWOOD                    CT",33.7619,-118.3064,2020,"Black","2020-04","12"
211908559,"05/10/2021 12:00:00 AM",2020-03-08,"08:00",19,"Mission",1918,2,354,"THEFT OF IDENTITY",15,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"13800    BEAVER                       ST",34.3061,-118.435,2020,"Black","2020-03","08"
201204961,"01/14/2020 12:00:00 AM",2020-01-14,"22:30",12,"77th Street",1257,2,624,"BATTERY - SIMPLE ASSAULT",24,"F","B",101,"STREET","IC","Invest Cont",624,"HOOVER                       ST",33.9693,-118.285,2020,"Black","2020-01","22"
201819482,"10/25/2020 12:00:00 AM",2020-10-24,"23:50",18,"Southeast",1802,2,624,"BATTERY - SIMPLE ASSAULT",35,"M","H",104,"DRIVEWAY","IC","Invest Cont",624,"100 E  87TH                         PL",33.958,-118.2734,2020,"Hispanic/Latin/Mexican","2020-10","23"
201109610,"05/21/2020 12:00:00 AM",2020-05-19,"17:30",11,"Northeast",1173,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",51,"M","O",101,"STREET","IC","Invest Cont",420,"N  ALVARADO                     ST",34.0924,-118.2544,2020,"Other","2020-05","17"
200505821,"02/12/2020 12:00:00 AM",2020-02-12,"23:00",5,"Harbor",525,1,761,"BRANDISH WEAPON",53,"M","H",101,"STREET","IC","Invest Cont",761,"300 W  C                            ST",33.7726,-118.2645,2020,"Hispanic/Latin/Mexican","2020-02","23"
200114622,"07/09/2020 12:00:00 AM",2020-07-09,"12:50",1,"Central",123,2,624,"BATTERY - SIMPLE ASSAULT",72,"M","A",101,"STREET","AO","Adult Other",624,"1ST",34.0533,-118.2455,2020,"Other Asian","2020-07","12"
200614978,"09/04/2020 12:00:00 AM",2020-09-03,"23:00",6,"Hollywood",644,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,"M","B",503,"HOTEL","IC","Invest Cont",341,"7200 W  SUNSET                       BL",34.098,-118.3471,2020,"Black","2020-09","23"
201310882,"05/14/2020 12:00:00 AM",2020-05-14,"08:50",13,"Newton",1372,2,624,"BATTERY - SIMPLE ASSAULT",24,"F","H",101,"STREET","IC","Invest Cont",624,"100 E  55TH                         ST",33.9924,-118.2739,2020,"Hispanic/Latin/Mexican","2020-05","08"
200306563,"02/12/2020 12:00:00 AM",2020-02-12,"20:10",3,"Southwest",338,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",22,"M","B",717,"HEALTH SPA/GYM","IC","Invest Cont",341,"900 W  JEFFERSON                    BL",34.0268,-118.2896,2020,"Black","2020-02","20"
200810090,"05/30/2020 12:00:00 AM",2020-05-30,"15:40",8,"West LA",835,1,440,"THEFT PLAIN - PETTY ($950 & UNDER)",50,"F","C",504,"OTHER RESIDENCE","IC","Invest Cont",440,"SELBY                        AV",34.0504,-118.4333,2020,"Chinese","2020-05","15"
202115906,"11/03/2020 12:00:00 AM",2020-11-01,"18:00",21,"Topanga",2148,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",42,"M","W",104,"DRIVEWAY","IC","Invest Cont",420,"KEOKUK",34.1992,-118.5744,2020,"White","2020-11","18"
200312237,"06/02/2020 12:00:00 AM",2020-06-01,"00:01",3,"Southwest",314,1,330,"BURGLARY FROM VEHICLE",28,"M","W",101,"STREET","IC","Invest Cont",330,"5TH                          AV",34.0344,-118.3224,2020,"White","2020-06","00"
201308940,"04/01/2020 12:00:00 AM",2020-04-01,"15:20",13,"Newton",1362,1,110,"CRIMINAL HOMICIDE",46,"M","H",109,"PARK/PLAYGROUND","IC","Invest Cont",110,"300 E  51ST                         ST",33.9966,-118.2701,2020,"Hispanic/Latin/Mexican","2020-04","15"
200208574,"04/04/2020 12:00:00 AM",2020-04-04,"15:00",2,"Rampart",204,2,886,"DISTURBING THE PEACE",27,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",886,"3500    LONDON                       ST",34.079,-118.283,2020,"White","2020-04","15"
201200528,"01/20/2020 12:00:00 AM",2020-01-20,"06:10",12,"77th Street",1258,2,647,"THROWING OBJECT AT MOVING VEHICLE",0,"X","X",101,"STREET","IC","Invest Cont",647,"77TH",33.9699,-118.2783,2020,"Unknown","2020-01","06"
202116881,"12/11/2020 12:00:00 AM",2020-12-10,"20:00",21,"Topanga",2105,1,330,"BURGLARY FROM VEHICLE",57,"F","A",101,"STREET","IC","Invest Cont",330,"8400    OWENSMOUTH                   AV",34.2224,-118.6019,2020,"Other Asian","2020-12","20"
201510448,"05/24/2020 12:00:00 AM",2020-05-23,"12:00",15,"N Hollywood",1515,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",108,"PARKING LOT","IC","Invest Cont",420,"6900    SIMPSON                      AV",34.1958,-118.3889,2020,"Unknown","2020-05","12"
200814351,"09/17/2020 12:00:00 AM",2020-09-12,"11:00",8,"West LA",852,1,330,"BURGLARY FROM VEHICLE",44,"M","W",707,"GARAGE/CARPORT","IC","Invest Cont",330,"WESTGATE                     AV",34.0409,-118.4579,2020,"White","2020-09","11"
